Index,question,answer
1572,how many?,"first you dial seven numbers, then ten numbers, then ten more numbers."
1573,"first you dial seven numbers, then ten numbers, then ten more numbers.",yikes. i think i'll keep my long distance service.
1574,do you go to college?,"yes, i do."
1575,"yes, i do.",what college do you go to?
1576,what college do you go to?,i go to pasadena city college.
1577,i go to pasadena city college.,do you like it?
1578,do you like it?,"oh, yes, i really like it."
1579,"oh, yes, i really like it.",why do you like it?
1580,why do you like it?,because it has great teachers.
1581,because it has great teachers.,what else?
1582,what else?,"i like all my classmates, too."
1583,"i like all my classmates, too.",anything else?
1584,anything else?,yes. it's not expensive!
1585,i lost my new pen.,where did you lose it?
1586,where did you lose it?,i don't know.
1587,i don't know.,when did you lose it?
1588,when did you lose it?,i think i lost it today. i used it yesterday.
1589,i think i lost it today. i used it yesterday.,did you check all your pockets?
1590,did you check all your pockets?,i checked all my pockets.
1591,i checked all my pockets.,did you look in your desk?
1592,did you look in your desk?,"yes. it isn't there, either."
1593,"yes. it isn't there, either.",it's probably around somewhere.
1594,it's probably around somewhere.,"oh, well, it only cost me a dollar."
1595,"oh, well, it only cost me a dollar.",only a dollar? don't even look for it.
1596,gravity is very important.,what is gravity?
1597,what is gravity?,it's the force that pulls everything down.
1598,it's the force that pulls everything down.,i don't understand.
1599,i don't understand.,"if you pour water into a glass, the water goes down into the glass."
1600,"if you pour water into a glass, the water goes down into the glass.",of course it does.
1601,of course it does.,"without gravity, the water would go up."
1602,"without gravity, the water would go up.",you're joking.
1603,you're joking.,"without gravity, you would go up."
1604,"without gravity, you would go up.",what do you mean?
1605,what do you mean?,you would float into the sky like a balloon.
1606,you would float into the sky like a balloon.,that would be fun!
1607,i can't read my book.,turn on the light.
1608,turn on the light.,the light is on.
1609,the light is on.,open the book.
1610,open the book.,the book is open.
1611,the book is open.,see an eye doctor.
1612,see an eye doctor.,that's what i need to do.
1613,that's what i need to do.,he'll give you a prescription for glasses.
1614,he'll give you a prescription for glasses.,i'll make an appointment tomorrow.
1615,i'll make an appointment tomorrow.,i'll get the yellow pages for an eye doctor.
1616,i'll get the yellow pages for an eye doctor.,read the phone number to me.
1617,read the phone number to me.,"i'll read it very loud, in case your hearing is getting bad, too."
1618,what do you need for school?,i need pencils.
1619,i need pencils.,anything else?
1620,anything else?,i need a notebook.
1621,i need a notebook.,do you need a pen?
1622,do you need a pen?,no. i already have a pen.
1623,no. i already have a pen.,do you need a calculator?
1624,do you need a calculator?,no. the teacher doesn't permit calculators.
1625,no. the teacher doesn't permit calculators.,how about a dictionary?
1626,how about a dictionary?,"no, we have a big dictionary in the classroom."
1627,"no, we have a big dictionary in the classroom.","well, i guess that's it."
1628,"well, i guess that's it.","yes, that's all i need for now."
1629,i like this magazine.,so do i.
1630,so do i.,"i read it once, and i subscribed."
1631,"i read it once, and i subscribed.",it gives you all the news.
1632,it gives you all the news.,all the news in only 50 pages.
1633,all the news in only 50 pages.,i like the political cartoons.
1634,i like the political cartoons.,i like the beautiful photos of the houses for sale.
1635,i like the beautiful photos of the houses for sale.,i always read the film reviews.
1636,i always read the film reviews.,i never miss the food and drink section.
1637,i never miss the food and drink section.,i gave a subscription to my parents.
1638,i gave a subscription to my parents.,me too. they canceled their other news magazines.
1639,me too. they canceled their other news magazines.,so did mine!
1640,my pen is out of ink.,shake it a couple of times.
1641,shake it a couple of times.,i shook it. there is no more ink.
1642,i shook it. there is no more ink.,you can borrow mine.
1643,you can borrow mine.,thank you. i'll buy a new one tomorrow.
1644,thank you. i'll buy a new one tomorrow.,what were you doing?
1645,what were you doing?,i was writing a letter.
1646,i was writing a letter.,who were you writing to?
1647,who were you writing to?,it's to my mom.
1648,it's to my mom.,tell her i said hello.
1649,tell her i said hello.,okay. i'll return your pen when i'm done.
1650,okay. i'll return your pen when i'm done.,take your time.
1651,have you done your homework?,not yet.
1652,not yet.,then why are you watching tv?
1653,then why are you watching tv?,this is my favorite show.
1654,this is my favorite show.,go do your homework.
1655,go do your homework.,"but, mom!"
1656,"but, mom!",you can watch tv after you do your homework.
1657,you can watch tv after you do your homework.,but the show will be over.
1658,but the show will be over.,there will be another show next week.
1659,there will be another show next week.,please?
1660,please?,you know the rules.
1661,you know the rules.,i hate the rules! i can't wait till i grow up.
1662,i can't wait until i graduate.,me too.
1663,me too.,no more homework.
1664,no more homework.,i hate homework.
1665,i hate homework.,are you going to college?
1666,are you going to college?,i can't afford it.
1667,i can't afford it.,me neither.
1668,me neither.,so what are you going to do?
1669,so what are you going to do?,i'm joining the army.
1670,i'm joining the army.,you're kidding. you might get killed.
1671,you're kidding. you might get killed.,"i don't think so. after i finish, i'll have enough money to go to college."
1672,"i don't think so. after i finish, i'll have enough money to go to college.",that's not a bad idea.
1673,what is your major?,english.
1674,english.,what are you going to do with an english major?
1675,what are you going to do with an english major?,i'm going to be a teacher.
1676,i'm going to be a teacher.,high school or middle school?
1677,high school or middle school?,high school.
1678,high school.,i teach high school english.
1679,i teach high school english.,i didn't know that.
1680,i didn't know that.,i started teaching five years ago.
1681,i started teaching five years ago.,how do you like it?
1682,how do you like it?,do you see all this gray hair? it was totally black five years ago.
1683,do you see all this gray hair? it was totally black five years ago.,maybe i'll teach middle school.
1684,parking at school is impossible.,i'll say.
1685,i'll say.,i drove around for half an hour.
1686,i drove around for half an hour.,did you find a spot?
1687,did you find a spot?,"i found a spot, but someone cut in and took it from me."
1688,"i found a spot, but someone cut in and took it from me.",did you yell at them?
1689,did you yell at them?,"yes, i did."
1690,"yes, i did.",and?
1691,and?,and he yelled back at me.
1692,and he yelled back at me.,how rude.
1693,how rude.,but i got lucky a few minutes later.
1694,but i got lucky a few minutes later.,you have to be lucky to find a parking space.
1695,this is a huge library.,"yes, it has lots of rooms and lots of space."
